contract_number,solicitation_number,reference_number,title,award_date,publication_date,amendment_date,contract_start,contract_end,amendment_number,amendment_type,total_contract_value,contract_amount_raw,currency,award_status,instrument_type,notice_type,procurement_method,selection_criteria,limited_tendering_reason,trade_agreements,regions_of_delivery,unspsc,unspsc_description,gsin,gsin_description,supplier_legal_name,supplier_city,supplier_province,contracting_entity,end_user_entity,amendment_count,competitive,is_ncc,supplier_key,quality_flags,source_file
1045294,26-58015,cb-640-76184215,M-10 Partial Exterior Envelope Replacement,2026-09-08,2026-09-15,,2026-09-08,2027-03-31,000,,0.00,0.00,,Active,,Request for Proposal,Competitive - Open bidding,Lowest Price,,Canadian Free Trade Agreement (CFTA),Ottawa; Canada,72100000; 72101500; 72102801; 72120000; 72121100; 72121400; 72130000; 72140000,Building and facility maintenance and repair services; Building maintenance and repair services; Renovation of buildings or landmarks or monuments; Nonresidential building construction services; Commercial and office building construction services; Specialized public building construction services; General building construction; Heavy construction services,,,6739741 Canada Inc / Gestion DMJ Management,Chelsea,QC,National Research Council of Canada (NRC),,0,yes,no,6739741 canada gestion dmj management,total_zero;currency_blank,awardNoticeComplete-avisAttributionComplet.csv
CW2460999,WS5799436016,CW2460999,Vehicle Scanning Facility and South Drive – Asphalt Repair,2026-09-03,2026-09-04,,2026-09-03,2026-10-15,000,Original,279110.00,279110.00,CAD,Active,Contract against SA,RFP against Supply Arrangement,Competitive - Open bidding,Lowest Price,,Canadian Free Trade Agreement (CFTA),National Capital Region (NCR),72000000; 72141100,Building and Facility Construction and Maintenance Services; Infrastructure building and surfacing and paving services,,,JP Gravel Construction Inc.,Ottawa,Ontario,Department of Public Works and Government Services (PSPC),Department of Public Works and Government Services (PSPC),0,yes,no,jp gravel construction,,awardNoticeComplete-avisAttributionComplet.csv
CW2464303,WS5741166353,CW2464303,HVAC Filters Standing Offer,2026-08-19,2026-08-19,,2026-08-19,2027-08-18,000,Original,348666.84,348666.84,CAD,Active,Standing Offer,Request for Standing Offer,Competitive - Open bidding,Lowest Price,None,Canada-European Union Comprehensive Economic and Trade Agreement (CETA); World Trade Organization Agreement on Government Procurement (WTO GPA); Canada-Korea Free Trade Agreement (CKFTA); Canada-UK Trade Continuity Agreement (Canada-UK TCA); Canada-Ukraine Free Trade Agreement (CUFTA); Canada-Panama Free Trade Agreement; Canada-Honduras Free Trade Agreement; Comprehensive and Progressive Agreement for Trans-Pacific Partnership (CPTPP); Canada-Colombia Free Trade Agreement; Canadian Free Trade Agreement (CFTA); Canada-Chile Free Trade Agreement (CCFTA); None; North American Free Trade Agreement (NAFTA); Canada-Peru Free Trade Agreement (CPFTA),National Capital Region (NCR),72151200,Heating and cooling and air conditioning HVAC construction and maintenance services,,,ZENTEK LTD,Guelph,Ontario,Department of Public Works and Government Services (PSPC),Department of Public Works and Government Services (PSPC),0,yes,no,zentek,framework_not_a_price,awardNoticeComplete-avisAttributionComplet.csv
CW2463684,WS4128712580,CW2463684,BIRD Supply Arrangement General Contractor and Specialty Trades Services 001,2026-08-11,2026-08-11,,2023-09-01,2026-08-31,000,Original,0.00,0.00,CAD,Active,Contract against SA,Request for Supply Arrangement,Competitive - Open bidding,Not applicable,None,Canada-Colombia Free Trade Agreement; Comprehensive and Progressive Agreement for Trans-Pacific Partnership (CPTPP); World Trade Organization Agreement on Government Procurement (WTO GPA); Canadian Free Trade Agreement (CFTA); Canada-Korea Free Trade Agreement (CKFTA); Canada-UK Trade Continuity Agreement (Canada-UK TCA); Canada-Chile Free Trade Agreement (CCFTA); Canada-Peru Free Trade Agreement (CPFTA); Canada-European Union Comprehensive Economic and Trade Agreement (CETA); Canada-Ukraine Free Trade Agreement (CUFTA); Canada-Panama Free Trade Agreement; Canada-Honduras Free Trade Agreement,National Capital Region (NCR),30103616; 30103617; 30161700; 30171500; 30191500; 30191600; 31160000; 31162800; 46191602; 55121509; 72000000; 72120000; 72151201; 72151500; 81101513; 82151501,Composite framework; Wooden framework; Flooring; Doors; Ladders and scaffolding; Ladders and scaffolding accessories; Hardware; Miscellaneous hardware; Fire sprinkler systems; Scaffolding tag; Building and Facility Construction and Maintenance Services; Nonresidential building construction services; HVAC mechanical construction service; Electrical system services; Building construction management; Painters services,,,Bird Construction Group,Mississauga,Ontario,Department of Public Works and Government Services (PSPC),Department of Public Works and Government Services (PSPC),0,yes,no,bird construction group,total_zero;framework_not_a_price,awardNoticeComplete-avisAttributionComplet.csv
CW2457768,WS5752479847,CW2457768,LEL Interior Systems Reinstatement,2026-08-10,2026-08-10,,2026-08-10,2026-09-25,000,Original,469876.18,469876.18,CAD,Active,Contract,Request for Proposal,Competitive - Open bidding,Lowest Price,None,Canadian Free Trade Agreement (CFTA),National Capital Region (NCR),72121100,Commercial and office building construction services,,,168012 Canada Inc.,Ottawa,Quebec,Department of Public Works and Government Services (PSPC),Department of Public Works and Government Services (PSPC),0,yes,no,168012 canada,,awardNoticeComplete-avisAttributionComplet.csv
1044937,26-58043,cb-130-54760517,S77 Washroom Renovations Project,2026-07-29,2026-07-30,,2026-07-29,2026-11-30,000,,155180.00,0.00,CAD,Active,,Request for Proposal,Competitive - Open bidding,Lowest Price,,Canadian Free Trade Agreement (CFTA),National Capital Region (NCR); Canada; Ottawa,72100000; 72101500; 72102900; 72103300; 72120000; 72121100; 72121103; 72121400; 72130000,Building and facility maintenance and repair services; Building maintenance and repair services; Facility maintenance and repair services; Infrastructure maintenance and repair services; Nonresidential building construction services; Commercial and office building construction services; Commercial and office building renovation and repair service; Specialized public building construction services; General building construction,,,Serge Zimola Construction Inc.,Gloucester,ON,National Research Council of Canada (NRC),,0,yes,no,serge zimola construction,,awardNoticeComplete-avisAttributionComplet.csv
PO-022885-,NCC-039893-DC-RFQ,cb-657-60372035,Gatineau Park Water Systems – Lagoon Culvert and Headwall Repair,2026-07-23,2026-07-23,,2026-07-23,2026-10-31,000,,357550.00,0.00,CAD,Active,,Request for Proposal,Competitive - Traditional,Lowest Price,,None,Gatineau; National Capital Region (NCR),47100000; 47101500; 47101531; 60104200; 70171506; 72141121,Water and wastewater treatment supply and disposal; Water treatment and supply equipment; Septic tanks; Water testing and conservation and ecology; Ground or surface water modeling services; Water main construction service,,,CONSTRUCTION BSL INC,Saint-Augustin-de-Desmaures,Quebec,National Capital Commission (NCC),,0,yes,yes,construction bsl,,awardNoticeComplete-avisAttributionComplet.csv
PO-022989,NCC-DC-039926-RFQ,cb-670-55085356,Rideau Canal Lighting Rehabilitation Project.,2026-07-22,2026-07-23,,2026-07-22,2026-11-16,000,,760290.39,0.00,CAD,Active,,Request for Proposal,Competitive - Traditional,Lowest Price,,None,Canada; National Capital Region (NCR),30103100; 30121717,Rails; Guardrail,,,DW RESTORATION SERVICES INC,Carleton Place,Ontario,National Capital Commission (NCC),,0,yes,yes,dw restoration services,,awardNoticeComplete-avisAttributionComplet.csv
CW2453736,WS5705606463,CW2453736,Place du Portage I and II Envelope Rehabilitation,2026-07-22,2026-07-22,2026-07-23,2026-07-22,2099-12-31,001,Amendment,3325924.94,,CAD,Active,Contract,Request for Proposal,Competitive - Open bidding,Lowest Price,None,Canadian Free Trade Agreement (CFTA),National Capital Region (NCR),72152700,Concrete installation and repair services,,,Raymond Roofing & Associates Inc,Ottawa,Ontario,Department of Public Works and Government Services (PSPC),Department of Public Works and Government Services (PSPC),1,yes,no,raymond roofing associates,,awardNoticeComplete-avisAttributionComplet.csv
CW2454627,WS5715005943,CW2454627,EP916-261658 Switchgear Switchboard 2-5 Replacement,2026-07-16,2026-07-22,,2026-07-16,2027-11-18,000,Original,4254450.00,4254450.00,CAD,Active,Contract,Request for Proposal,Competitive - Open bidding,Highest Combined Rating of Technical Merit and Price,None,Canadian Free Trade Agreement (CFTA),National Capital Region (NCR),73152108,Electrical equipment maintenance and repair service,,,Modern Niagara Ottawa Inc.,Ottawa,Ontario,Department of Public Works and Government Services (PSPC),Department of Public Works and Government Services (PSPC),0,yes,no,modern niagara ottawa,,awardNoticeComplete-avisAttributionComplet.csv
5P468-26-0071,5P468-26-0071/A,cb-968-69135005,"Surface Preparation and Painting Work, First-Class Hotel - National Historic Site of Grosse-Ile-and-the-Irish-Memorial",2026-07-16,2026-09-11,,2026-07-16,2027-03-31,000,,539232.75,0.00,CAD,Active,,Request for Proposal,Competitive - Traditional,Variations or combinations of the above methods,,Canadian Free Trade Agreement (CFTA),Canada; National Capital Region (NCR),72151302; 72151303,Commercial painting service; Industrial painting service,,,9380-1645 Québec inc.,St-Augustin-de-Desmaures,Québec,Parks Canada Agency (PC),,0,yes,no,9380 1645 quebec,,awardNoticeComplete-avisAttributionComplet.csv
