contract_number,solicitation_number,entity_group,is_ncc,title,award_date,file_name,file_type,name_hint,url
1045294,26-58015,NRC,no,M-10 Partial Exterior Envelope Replacement,2026-09-08,26-58015_m-10-partial-exterior-envelope-replacement_itt.pdf,pdf,rfp/itt,https://canadabuys.canada.ca/sites/default/files/webform/tender_notice/97809/26-58015_m-10-partial-exterior-envelope-replacement_itt.pdf
1045294,26-58015,NRC,no,M-10 Partial Exterior Envelope Replacement,2026-09-08,26-58015_revision-2_annex-ai_specifications.pdf,pdf,specification,https://canadabuys.canada.ca/sites/default/files/webform/tender_notice/97809/26-58015_revision-2_annex-ai_specifications.pdf
1045294,26-58015,NRC,no,M-10 Partial Exterior Envelope Replacement,2026-09-08,26-58015_npp.noticeofproposedprocurement-avisdeprojetdemarche.apm_.pdf,pdf,unclassified,https://canadabuys.canada.ca/sites/default/files/webform/tender_notice/97809/26-58015_npp.noticeofproposedprocurement-avisdeprojetdemarche.apm_.pdf
1045294,26-58015,NRC,no,M-10 Partial Exterior Envelope Replacement,2026-09-08,26-58015_addendum_admendment_addenda_amendement_2.pdf,pdf,addendum,https://canadabuys.canada.ca/sites/default/files/webform/tender_notice/97809/26-58015_addendum_admendment_addenda_amendement_2.pdf
1045294,26-58015,NRC,no,M-10 Partial Exterior Envelope Replacement,2026-09-08,26-58015_addendum_admendment_addenda_amendement_1_0.pdf,pdf,addendum,https://canadabuys.canada.ca/sites/default/files/webform/tender_notice/97809/26-58015_addendum_admendment_addenda_amendement_1_0.pdf
1045294,26-58015,NRC,no,M-10 Partial Exterior Envelope Replacement,2026-09-08,26-58015_drawing_5532-a400.pdf,pdf,drawing,https://canadabuys.canada.ca/sites/default/files/webform/tender_notice/97809/26-58015_drawing_5532-a400.pdf
1045294,26-58015,NRC,no,M-10 Partial Exterior Envelope Replacement,2026-09-08,26-58015_revision-1_annex-ai_specifications_0.pdf,pdf,specification,https://canadabuys.canada.ca/sites/default/files/webform/tender_notice/97809/26-58015_revision-1_annex-ai_specifications_0.pdf
1045294,26-58015,NRC,no,M-10 Partial Exterior Envelope Replacement,2026-09-08,26-58015_annex-aii_drawings.pdf,pdf,drawing,https://canadabuys.canada.ca/sites/default/files/webform/tender_notice/97809/26-58015_annex-aii_drawings.pdf
1045294,26-58015,NRC,no,M-10 Partial Exterior Envelope Replacement,2026-09-08,26-58015_qa-table_1-11.pdf,pdf,unclassified,https://canadabuys.canada.ca/sites/default/files/webform/tender_notice/97809/26-58015_qa-table_1-11.pdf
1045294,26-58015,NRC,no,M-10 Partial Exterior Envelope Replacement,2026-09-08,26-58015_annex-ai_specifications.pdf,pdf,specification,https://canadabuys.canada.ca/sites/default/files/webform/tender_notice/97809/26-58015_annex-ai_specifications.pdf
1044937,26-58043,NRC,no,S77 Washroom Renovations Project,2026-07-29,26-58043_addendum_admendment_addenda_amendement_1.pdf,pdf,addendum,https://canadabuys.canada.ca/sites/default/files/webform/tender_notice/96918/26-58043_addendum_admendment_addenda_amendement_1.pdf
1044937,26-58043,NRC,no,S77 Washroom Renovations Project,2026-07-29,26-58043_notice-of-proposed-procurement-npp---publication-dun-avis-de-projet-de-marche-apm.pdf,pdf,unclassified,https://canadabuys.canada.ca/sites/default/files/webform/tender_notice/96918/26-58043_notice-of-proposed-procurement-npp---publication-dun-avis-de-projet-de-marche-apm.pdf
1044937,26-58043,NRC,no,S77 Washroom Renovations Project,2026-07-29,26-58043_annex_ai_specifications.pdf,pdf,specification,https://canadabuys.canada.ca/sites/default/files/webform/tender_notice/96918/26-58043_annex_ai_specifications.pdf
1044937,26-58043,NRC,no,S77 Washroom Renovations Project,2026-07-29,26-58043_s77-washroom-renovations_itt.pdf,pdf,rfp/itt,https://canadabuys.canada.ca/sites/default/files/webform/tender_notice/96918/26-58043_s77-washroom-renovations_itt.pdf
1044937,26-58043,NRC,no,S77 Washroom Renovations Project,2026-07-29,26-58043_annex_aiii_project-specific-designated-substances-report.pdf,pdf,specification,https://canadabuys.canada.ca/sites/default/files/webform/tender_notice/96918/26-58043_annex_aiii_project-specific-designated-substances-report.pdf
1044937,26-58043,NRC,no,S77 Washroom Renovations Project,2026-07-29,26-58043_qa-table_1.pdf,pdf,unclassified,https://canadabuys.canada.ca/sites/default/files/webform/tender_notice/96918/26-58043_qa-table_1.pdf
1044937,26-58043,NRC,no,S77 Washroom Renovations Project,2026-07-29,26-58043_annex-aii_drawings.pdf,pdf,drawing,https://canadabuys.canada.ca/sites/default/files/webform/tender_notice/96918/26-58043_annex-aii_drawings.pdf
PO-022885-,NCC-039893-DC-RFQ,NCC,yes,Gatineau Park Water Systems – Lagoon Culvert and Headwall Repair,2026-07-23,mitigation-measures-form_rehabilitation-of-the-treatment-pond-at-the-lake-philippe-campground--2023-04-02-en_info-only.pdf,pdf,forms,https://canadabuys.canada.ca/sites/default/files/webform/tender_notice/91324/mitigation-measures-form_rehabilitation-of-the-treatment-pond-at-the-lake-philippe-campground--2023-04-02-en_info-only.pdf
PO-022885-,NCC-039893-DC-RFQ,NCC,yes,Gatineau Park Water Systems – Lagoon Culvert and Headwall Repair,2026-07-23,addendum-2--lagoon-culverts.pdf,pdf,addendum,https://canadabuys.canada.ca/sites/default/files/webform/tender_notice/91324/addendum-2--lagoon-culverts.pdf
PO-022885-,NCC-039893-DC-RFQ,NCC,yes,Gatineau Park Water Systems – Lagoon Culvert and Headwall Repair,2026-07-23,sewer-ctv-inspection-report-138052st1.pdf,pdf,specification,https://canadabuys.canada.ca/sites/default/files/webform/tender_notice/91324/sewer-ctv-inspection-report-138052st1.pdf
PO-022885-,NCC-039893-DC-RFQ,NCC,yes,Gatineau Park Water Systems – Lagoon Culvert and Headwall Repair,2026-07-23,ncc-039893-dc-rfq-lagoon-culvert-and-headwall-repairs.-retender-en_fr.pdf,pdf,rfp/itt,https://canadabuys.canada.ca/sites/default/files/webform/tender_notice/91324/ncc-039893-dc-rfq-lagoon-culvert-and-headwall-repairs.-retender-en_fr.pdf
PO-022885-,NCC-039893-DC-RFQ,NCC,yes,Gatineau Park Water Systems – Lagoon Culvert and Headwall Repair,2026-07-23,addendum_3-fr_en.pdf,pdf,addendum,https://canadabuys.canada.ca/sites/default/files/webform/tender_notice/91324/addendum_3-fr_en.pdf
PO-022885-,NCC-039893-DC-RFQ,NCC,yes,Gatineau Park Water Systems – Lagoon Culvert and Headwall Repair,2026-07-23,addendum-1-_en.pdf,pdf,addendum,https://canadabuys.canada.ca/sites/default/files/webform/tender_notice/91324/addendum-1-_en.pdf
