ref_date,napcs_group,napcs_group_name,product,uom,value,vector,coordinate,status,terminated
2015-01,P41,Lumber and other wood products,Hardwood lumber (except tongue and groove and other edge worked lumber) [24111],"Index, 202001=100",104.5,v1230996124,1.118,E,
2015-02,P41,Lumber and other wood products,Hardwood lumber (except tongue and groove and other edge worked lumber) [24111],"Index, 202001=100",104.3,v1230996124,1.118,E,
2015-03,P41,Lumber and other wood products,Hardwood lumber (except tongue and groove and other edge worked lumber) [24111],"Index, 202001=100",104.7,v1230996124,1.118,E,
2015-04,P41,Lumber and other wood products,Hardwood lumber (except tongue and groove and other edge worked lumber) [24111],"Index, 202001=100",102.2,v1230996124,1.118,E,
2015-05,P41,Lumber and other wood products,Hardwood lumber (except tongue and groove and other edge worked lumber) [24111],"Index, 202001=100",100.3,v1230996124,1.118,E,
2015-06,P41,Lumber and other wood products,Hardwood lumber (except tongue and groove and other edge worked lumber) [24111],"Index, 202001=100",101.6,v1230996124,1.118,E,
2015-07,P41,Lumber and other wood products,Hardwood lumber (except tongue and groove and other edge worked lumber) [24111],"Index, 202001=100",98.2,v1230996124,1.118,E,
2015-08,P41,Lumber and other wood products,Hardwood lumber (except tongue and groove and other edge worked lumber) [24111],"Index, 202001=100",98.7,v1230996124,1.118,E,
2015-09,P41,Lumber and other wood products,Hardwood lumber (except tongue and groove and other edge worked lumber) [24111],"Index, 202001=100",98.6,v1230996124,1.118,E,
2015-10,P41,Lumber and other wood products,Hardwood lumber (except tongue and groove and other edge worked lumber) [24111],"Index, 202001=100",98.3,v1230996124,1.118,E,
2015-11,P41,Lumber and other wood products,Hardwood lumber (except tongue and groove and other edge worked lumber) [24111],"Index, 202001=100",98.8,v1230996124,1.118,E,
2015-12,P41,Lumber and other wood products,Hardwood lumber (except tongue and groove and other edge worked lumber) [24111],"Index, 202001=100",99.5,v1230996124,1.118,E,
2016-01,P41,Lumber and other wood products,Hardwood lumber (except tongue and groove and other edge worked lumber) [24111],"Index, 202001=100",100.6,v1230996124,1.118,E,
2016-02,P41,Lumber and other wood products,Hardwood lumber (except tongue and groove and other edge worked lumber) [24111],"Index, 202001=100",100.0,v1230996124,1.118,E,
2016-03,P41,Lumber and other wood products,Hardwood lumber (except tongue and groove and other edge worked lumber) [24111],"Index, 202001=100",99.5,v1230996124,1.118,E,
2016-04,P41,Lumber and other wood products,Hardwood lumber (except tongue and groove and other edge worked lumber) [24111],"Index, 202001=100",99.1,v1230996124,1.118,E,
2016-05,P41,Lumber and other wood products,Hardwood lumber (except tongue and groove and other edge worked lumber) [24111],"Index, 202001=100",99.1,v1230996124,1.118,E,
2016-06,P41,Lumber and other wood products,Hardwood lumber (except tongue and groove and other edge worked lumber) [24111],"Index, 202001=100",100.0,v1230996124,1.118,E,
2016-07,P41,Lumber and other wood products,Hardwood lumber (except tongue and groove and other edge worked lumber) [24111],"Index, 202001=100",99.9,v1230996124,1.118,E,
2016-08,P41,Lumber and other wood products,Hardwood lumber (except tongue and groove and other edge worked lumber) [24111],"Index, 202001=100",99.8,v1230996124,1.118,E,
2016-09,P41,Lumber and other wood products,Hardwood lumber (except tongue and groove and other edge worked lumber) [24111],"Index, 202001=100",100.1,v1230996124,1.118,E,
2016-10,P41,Lumber and other wood products,Hardwood lumber (except tongue and groove and other edge worked lumber) [24111],"Index, 202001=100",100.2,v1230996124,1.118,E,
2016-11,P41,Lumber and other wood products,Hardwood lumber (except tongue and groove and other edge worked lumber) [24111],"Index, 202001=100",100.4,v1230996124,1.118,E,
2016-12,P41,Lumber and other wood products,Hardwood lumber (except tongue and groove and other edge worked lumber) [24111],"Index, 202001=100",100.2,v1230996124,1.118,E,
2017-01,P41,Lumber and other wood products,Hardwood lumber (except tongue and groove and other edge worked lumber) [24111],"Index, 202001=100",100.1,v1230996124,1.118,E,
2017-02,P41,Lumber and other wood products,Hardwood lumber (except tongue and groove and other edge worked lumber) [24111],"Index, 202001=100",100.4,v1230996124,1.118,E,
2017-03,P41,Lumber and other wood products,Hardwood lumber (except tongue and groove and other edge worked lumber) [24111],"Index, 202001=100",100.8,v1230996124,1.118,E,
2017-04,P41,Lumber and other wood products,Hardwood lumber (except tongue and groove and other edge worked lumber) [24111],"Index, 202001=100",101.2,v1230996124,1.118,E,
2017-05,P41,Lumber and other wood products,Hardwood lumber (except tongue and groove and other edge worked lumber) [24111],"Index, 202001=100",101.5,v1230996124,1.118,E,
2017-06,P41,Lumber and other wood products,Hardwood lumber (except tongue and groove and other edge worked lumber) [24111],"Index, 202001=100",101.7,v1230996124,1.118,E,
2017-07,P41,Lumber and other wood products,Hardwood lumber (except tongue and groove and other edge worked lumber) [24111],"Index, 202001=100",101.6,v1230996124,1.118,E,
2017-08,P41,Lumber and other wood products,Hardwood lumber (except tongue and groove and other edge worked lumber) [24111],"Index, 202001=100",101.6,v1230996124,1.118,E,
2017-09,P41,Lumber and other wood products,Hardwood lumber (except tongue and groove and other edge worked lumber) [24111],"Index, 202001=100",102.0,v1230996124,1.118,E,
2017-10,P41,Lumber and other wood products,Hardwood lumber (except tongue and groove and other edge worked lumber) [24111],"Index, 202001=100",102.4,v1230996124,1.118,E,
2017-11,P41,Lumber and other wood products,Hardwood lumber (except tongue and groove and other edge worked lumber) [24111],"Index, 202001=100",103.0,v1230996124,1.118,E,
2017-12,P41,Lumber and other wood products,Hardwood lumber (except tongue and groove and other edge worked lumber) [24111],"Index, 202001=100",103.5,v1230996124,1.118,E,
2018-01,P41,Lumber and other wood products,Hardwood lumber (except tongue and groove and other edge worked lumber) [24111],"Index, 202001=100",103.8,v1230996124,1.118,E,
2018-02,P41,Lumber and other wood products,Hardwood lumber (except tongue and groove and other edge worked lumber) [24111],"Index, 202001=100",104.2,v1230996124,1.118,E,
2018-03,P41,Lumber and other wood products,Hardwood lumber (except tongue and groove and other edge worked lumber) [24111],"Index, 202001=100",104.2,v1230996124,1.118,E,
2018-04,P41,Lumber and other wood products,Hardwood lumber (except tongue and groove and other edge worked lumber) [24111],"Index, 202001=100",104.4,v1230996124,1.118,E,
2018-05,P41,Lumber and other wood products,Hardwood lumber (except tongue and groove and other edge worked lumber) [24111],"Index, 202001=100",105.4,v1230996124,1.118,E,
2018-06,P41,Lumber and other wood products,Hardwood lumber (except tongue and groove and other edge worked lumber) [24111],"Index, 202001=100",105.2,v1230996124,1.118,E,
2018-07,P41,Lumber and other wood products,Hardwood lumber (except tongue and groove and other edge worked lumber) [24111],"Index, 202001=100",104.8,v1230996124,1.118,E,
2018-08,P41,Lumber and other wood products,Hardwood lumber (except tongue and groove and other edge worked lumber) [24111],"Index, 202001=100",103.9,v1230996124,1.118,E,
2018-09,P41,Lumber and other wood products,Hardwood lumber (except tongue and groove and other edge worked lumber) [24111],"Index, 202001=100",103.2,v1230996124,1.118,E,
2018-10,P41,Lumber and other wood products,Hardwood lumber (except tongue and groove and other edge worked lumber) [24111],"Index, 202001=100",102.3,v1230996124,1.118,E,
2018-11,P41,Lumber and other wood products,Hardwood lumber (except tongue and groove and other edge worked lumber) [24111],"Index, 202001=100",101.7,v1230996124,1.118,E,
2018-12,P41,Lumber and other wood products,Hardwood lumber (except tongue and groove and other edge worked lumber) [24111],"Index, 202001=100",101.6,v1230996124,1.118,E,
